State,District,Location,Longitude,Latitude,Cd,Cr,Cu,Pb,Mn,Ni,Fe,Zn
Andaman & Nicobar Islands,South Andaman,Brookshabad (Port Blair),92.740400,11.638000,0.422000,0.403000,0.392657,1.480000,0.012000,1.628000,1.062000,0.133000
Andaman & Nicobar Islands,South Andaman,Burmanala,92.729400,11.558000,0.510000,0.271000,0.216733,1.594000,0.043000,1.626000,1.135000,0.051000
Andaman & Nicobar Islands,South Andaman,Calicut,92.726400,11.607400,0.362000,0.373000,0.477433,0.961000,0.014000,1.636000,1.066000,0.237000
Andaman & Nicobar Islands,South Andaman,Calicut Borewell,92.719500,11.600100,0.408000,0.410000,0.694769,0.728000,0.014000,1.554000,0.955000,0.218000
Andaman & Nicobar Islands,South Andaman,Chidiyatapu,92.701900,11.503300,0.441000,0.376000,0.503557,0.728000,0.014000,1.551000,1.043000,0.075000
Andaman & Nicobar Islands,South Andaman,Chouldari 1,92.667000,11.631200,0.398000,0.271000,0.237883,0.728000,0.043000,1.674000,1.043000,0.052000
Andaman & Nicobar Islands,South Andaman,Corbyn'S Cove (Port Blair),92.746000,11.642500,0.400000,0.104000,0.125226,0.302000,0.014000,1.551000,1.135000,0.089000
Andaman & Nicobar Islands,South Andaman,Dandaspoint,92.707400,11.670400,0.472000,0.376000,0.528946,0.541000,0.014000,1.659000,0.801000,0.048000
Andaman & Nicobar Islands,South Andaman,Dhannikhari,92.667100,11.612600,0.505000,0.216000,0.351323,1.422000,0.087000,1.545000,1.194000,0.049000
Andaman & Nicobar Islands,South Andaman,Dollyganj Chowk,92.722800,11.634300,0.505000,0.387000,0.668767,0.252000,0.053000,1.626000,1.043000,0.069000
Andaman & Nicobar Islands,South Andaman,Dolphin Yatri Niwas,93.011200,12.018900,0.472000,0.266000,0.507828,1.306000,0.013000,1.808000,0.896000,0.048000
Andaman & Nicobar Islands,South Andaman,Ferrarganj,92.653100,11.717500,0.459000,0.398000,0.029358,0.566000,0.012000,1.508000,1.308000,0.237000
Andaman & Nicobar Islands,South Andaman,Garacharma,92.709500,11.613700,0.370000,0.369000,0.500327,0.541000,0.019000,1.636000,1.001000,0.075000
Andaman & Nicobar Islands,South Andaman,Govindanagar Vill No - 1,92.997200,12.030200,0.448000,0.398000,0.010940,1.109000,0.006000,1.659000,0.801000,0.104000
Andaman & Nicobar Islands,South Andaman,Govindanagar Vill No - 3,93.003600,12.023200,0.472000,0.369000,0.194985,1.013000,0.043000,1.808000,0.701000,0.133000
Andaman & Nicobar Islands,South Andaman,Gupta Para,92.658700,11.559900,0.412000,0.361000,0.002052,0.728000,0.053000,1.551000,1.001000,0.055000
Andaman & Nicobar Islands,South Andaman,Haddo – 2,92.727900,11.768500,0.444000,0.209000,0.784620,1.107000,0.013000,1.636000,2.215000,0.052000
Andaman & Nicobar Islands,South Andaman,Hasmatabad,92.645500,11.594400,0.448000,0.369000,0.771860,1.633000,0.006000,1.670000,2.215000,0.133000
Andaman & Nicobar Islands,South Andaman,Havelock Island Jetty,92.981000,12.041300,0.451000,0.369000,0.625220,1.422000,0.056000,1.558000,1.224000,0.047000
Andaman & Nicobar Islands,South Andaman,Herbertabad,92.615100,11.708200,0.472000,0.398000,0.028719,1.013000,0.014000,1.617000,0.909000,0.218000
Andaman & Nicobar Islands,South Andaman,Hope Town (Maremon Temple),92.727200,11.698100,0.420000,0.026000,0.036793,1.306000,0.013000,1.628000,1.308000,0.262000
Andaman & Nicobar Islands,South Andaman,Junglighat (Vip Road),92.735200,11.657600,0.505000,0.182000,0.398134,0.071000,0.087000,1.651000,1.220000,0.055000
Andaman & Nicobar Islands,South Andaman,Kalapathar,93.005900,11.974900,0.425000,0.376000,0.239323,2.348000,0.014000,1.581000,0.909000,0.075000
Andaman & Nicobar Islands,South Andaman,Kanyapuram,92.706900,11.736700,0.460000,0.361000,0.526584,0.245000,0.078000,1.583000,1.001000,0.098000
Andaman & Nicobar Islands,South Andaman,Kodiaghat,92.727700,11.545200,0.448000,0.182000,0.509294,0.571000,0.053000,1.674000,1.840000,0.141000
Andaman & Nicobar Islands,South Andaman,Krishnanagar,92.976600,12.001800,0.420000,0.189000,0.072107,1.650000,0.011000,1.603000,1.227000,0.172000
Andaman & Nicobar Islands,South Andaman,Lamba Line,92.749500,11.659300,0.362000,0.379000,0.236113,2.348000,0.002000,1.808000,1.308000,0.127000
Andaman & Nicobar Islands,South Andaman,Laxmanpur,93.017100,11.832000,0.448000,0.243000,0.011135,0.245000,0.078000,1.659000,1.147000,0.089000
Andaman & Nicobar Islands,South Andaman,Light House,92.737800,11.668100,0.403000,0.398000,0.262405,0.071000,0.013000,1.617000,0.909000,0.048000
Andaman & Nicobar Islands,South Andaman,Mamyo,92.633000,11.597900,0.403000,0.398000,0.108531,0.571000,0.067000,1.583000,1.152000,0.218000
Andaman & Nicobar Islands,South Andaman,Manglutan,92.660200,11.571400,0.441000,0.209000,0.026173,1.480000,0.010000,1.551000,1.840000,0.120000
Andaman & Nicobar Islands,South Andaman,Manjeri,,11.539300,0.362000,0.364000,0.659353,0.071000,0.043000,1.451000,1.014000,0.105000
Andaman & Nicobar Islands,South Andaman,Mannarghat,92.706100,11.768500,0.400000,0.376000,0.172761,0.908000,0.043000,1.563000,0.801000,0.218000
Andaman & Nicobar Islands,South Andaman,Marina Park,92.746300,11.671100,0.459000,0.239000,0.631988,1.650000,0.087000,1.670000,0.909000,0.098000
Andaman & Nicobar Islands,South Andaman,Mile Tilak,92.655700,11.794700,0.379000,0.373000,0.177240,1.013000,0.053000,1.508000,0.955000,0.133000
Andaman & Nicobar Islands,South Andaman,Mithakhari,92.673400,11.668100,0.459000,0.271000,0.058793,0.506000,0.019000,1.551000,1.135000,0.104000
Andaman & Nicobar Islands,South Andaman,Mount Harriyat,92.732600,11.719400,0.460000,0.134000,0.634477,0.719000,0.034000,1.772000,1.840000,0.069000
Andaman & Nicobar Islands,South Andaman,Namunagar,92.680200,11.690500,0.444000,0.266000,0.250019,0.245000,0.010000,1.545000,1.001000,0.141000
Andaman & Nicobar Islands,South Andaman,Nayasahar,92.676700,11.579000,0.457000,0.398000,0.449347,1.107000,0.053000,1.624000,1.152000,0.048000
Andaman & Nicobar Islands,South Andaman,Neil Kendra,93.029300,11.833200,0.379000,0.189000,0.525389,1.107000,0.034000,1.628000,1.014000,0.098000
Andaman & Nicobar Islands,South Andaman,New Bimliton,92.696300,11.571300,0.441000,0.398000,0.021003,1.323000,0.004000,1.551000,2.215000,0.127000
Andaman & Nicobar Islands,South Andaman,Ograbraj,92.661200,11.655500,0.457000,0.189000,0.592775,0.915000,0.011000,1.554000,1.062000,0.075000
Andaman & Nicobar Islands,South Andaman,Pearl Park Resort,93.014400,11.845400,0.505000,0.185000,0.603549,2.348000,0.053000,1.617000,0.813000,0.080000
Andaman & Nicobar Islands,South Andaman,Port Blair,92.744000,11.670600,0.474000,0.376000,0.389306,1.422000,0.043000,1.492000,1.043000,0.049000
Andaman & Nicobar Islands,South Andaman,Port Blair (Dobhi Well),92.734900,11.671000,0.449000,0.185000,0.103349,0.541000,0.053000,1.808000,1.152000,0.256000
Andaman & Nicobar Islands,South Andaman,Port Mout,92.659900,11.643300,0.400000,0.376000,0.323538,1.422000,0.004000,1.543000,1.081000,0.262000
Andaman & Nicobar Islands,South Andaman,Radhanagar,92.953600,11.991800,0.474000,0.376000,0.320360,0.571000,0.043000,1.545000,1.227000,0.105000
Andaman & Nicobar Islands,South Andaman,Ramnagar,93.045300,11.817200,0.452000,0.361000,0.516354,1.323000,0.011000,1.626000,1.147000,0.047000
Andaman & Nicobar Islands,South Andaman,Rangachang,92.737000,11.579300,0.403000,0.376000,0.359124,0.071000,0.043000,1.451000,0.801000,0.047000
Andaman & Nicobar Islands,South Andaman,Ross Island,92.763800,11.675800,0.460000,0.239000,0.405870,0.537000,0.010000,1.808000,1.224000,0.120000
Andaman & Nicobar Islands,South Andaman,Saitankhari,92.666100,11.717200,0.420000,0.401000,0.716701,0.071000,0.011000,1.563000,0.955000,0.181000
Andaman & Nicobar Islands,South Andaman,Shadipur (Port Blair),92.743500,11.656500,0.412000,0.410000,0.138047,2.348000,0.025000,1.603000,2.215000,0.049000
Andaman & Nicobar Islands,South Andaman,Shoal  Bay – 8 No.,92.717200,11.813300,0.459000,0.410000,0.267719,1.422000,0.014000,1.624000,1.194000,0.075000
Andaman & Nicobar Islands,South Andaman,Shoal  Bay– 12 No.,92.730300,11.847200,0.459000,0.410000,0.558784,0.506000,0.014000,1.451000,1.751000,0.109000
Andaman & Nicobar Islands,South Andaman,Shoal  Bay– 15 No.,92.736400,11.865600,0.459000,0.387000,0.338725,1.650000,0.011000,1.492000,1.014000,0.048000
Andaman & Nicobar Islands,South Andaman,Sippighat,92.685700,11.603200,0.451000,0.398000,0.668096,1.633000,0.043000,1.554000,0.896000,0.141000
Andaman & Nicobar Islands,South Andaman,Sitanagar,93.060800,11.820100,0.452000,0.266000,0.291440,0.019000,0.014000,1.508000,1.066000,0.141000
Andaman & Nicobar Islands,South Andaman,South Point (Port Blair),92.753800,11.664100,0.403000,0.387000,0.757704,0.961000,0.012000,1.554000,1.751000,0.127000
Andaman & Nicobar Islands,South Andaman,Steuwartganj,92.709700,11.724200,0.362000,0.239000,0.443633,1.107000,0.006000,1.657000,1.081000,0.133000
Andaman & Nicobar Islands,South Andaman,Teylarabad,92.700900,11.607300,0.400000,0.271000,0.707704,1.422000,0.025000,1.545000,1.062000,0.218000
Andaman & Nicobar Islands,South Andaman,Tirur,92.615600,11.733800,0.441000,0.189000,0.110080,0.396000,0.019000,1.543000,0.704000,0.105000
Andaman & Nicobar Islands,South Andaman,Tushnabad,92.636200,11.679100,0.441000,0.380000,0.422217,0.961000,0.006000,1.562000,1.194000,0.309000
Andaman & Nicobar Islands,South Andaman,Vijaynagar,93.009300,11.999200,0.403000,0.373000,0.460038,0.043000,0.043000,1.554000,1.308000,0.080000
Andaman & Nicobar Islands,South Andaman,Wandur – 2,92.616600,11.587800,0.400000,0.379000,0.790665,0.302000,0.001000,1.657000,1.152000,0.080000
Andaman & Nicobar Islands,South Andaman,Wimberleyganj,92.707200,11.740300,0.398000,0.362000,0.465523,1.306000,0.034000,1.659000,1.043000,0.051000
Andaman & Nicobar Islands,South Andaman,Wrightmyo,92.708700,11.779300,0.446000,0.403000,0.620952,0.537000,0.011000,1.551000,1.227000,0.051000
Arunachal Pradesh,Changlang,Jairampur,96.014400,27.356100,0.362000,0.216000,0.285579,1.633000,0.087000,1.651000,1.045000,0.120000
Arunachal Pradesh,Changlang,Namchik,95.972000,27.414600,0.412000,0.369000,0.293878,0.506000,0.078000,1.659000,0.896000,0.262000
Arunachal Pradesh,Changlang,Namphai,96.108600,27.446100,0.412000,0.380000,0.574130,2.348000,0.001000,1.543000,1.001000,0.237000
Arunachal Pradesh,Changlang,Newlisan Kharsang,96.041800,27.426900,0.400000,0.373000,0.640877,0.908000,0.043000,1.563000,0.701000,0.080000
Arunachal Pradesh,East Siang,Pasighat New,95.335800,28.036200,0.444000,0.189000,0.543250,0.252000,0.002000,1.461000,0.834000,0.218000
Arunachal Pradesh,East Siang,Oyan,95.318300,27.890200,0.604000,0.243000,0.730834,0.396000,0.013000,1.636000,2.215000,0.153000
Arunachal Pradesh,East Siang,Ruksin,95.218200,27.837800,0.451000,0.403000,0.356089,1.107000,0.043000,1.551000,1.066000,0.172000
Arunachal Pradesh,Lohit,Lathow,95.909800,27.739500,0.472000,0.185000,0.634957,1.594000,0.019000,1.603000,1.066000,0.055000
Arunachal Pradesh,Papumpare,Banderedewa I,93.825800,27.105300,0.457000,0.216000,0.318528,2.507000,0.013000,1.451000,1.147000,0.104000
Arunachal Pradesh,Tirap,Deomali,95.462800,27.196600,0.379000,0.398000,0.511835,2.507000,0.025000,1.674000,1.227000,0.049000
Arunachal Pradesh,Tirap,Borduria,95.413100,27.115200,0.472000,0.373000,0.715941,0.071000,0.034000,1.543000,1.066000,0.075000
Arunachal Pradesh,Tirap,Hukanjuri,95.437700,27.125800,0.507000,0.401000,0.721601,0.537000,0.004000,1.626000,1.123000,0.075000
Assam,Baksa,Anandapur C-Block,91.404200,26.680000,0.474000,0.361000,0.501731,0.302000,0.014000,1.551000,1.081000,0.069000
Assam,Baksa,Bhebla,91.239300,26.650600,0.474000,0.380000,0.114935,1.107000,0.010000,1.603000,1.227000,0.069000
Assam,Baksa,Deusunga Ambarishnagar,91.707800,26.756600,0.449000,0.134000,0.040484,2.507000,0.014000,1.659000,0.834000,0.105000
Assam,Baksa,Gyati Gaon,90.999200,26.659400,0.422000,0.271000,0.399008,1.422000,0.025000,1.628000,1.062000,0.075000
Assam,Baksa,Hadukata,91.100400,26.608600,0.452000,0.216000,0.429353,0.719000,0.087000,1.603000,0.955000,0.105000
Assam,Baksa,Kumarikata,91.556100,26.731600,0.379000,0.373000,0.360284,0.019000,0.053000,1.674000,1.045000,0.055000
Assam,Baksa,Lokpala,91.398400,26.620300,0.379000,0.373000,0.321110,0.396000,0.043000,1.563000,1.194000,0.256000
Assam,Baksa,Naukata,91.723300,26.647000,0.505000,0.380000,0.591455,1.109000,0.025000,1.551000,1.001000,0.052000
Assam,Baksa,Simla,91.044200,26.649800,0.449000,0.379000,0.719014,0.019000,0.010000,1.626000,1.123000,0.075000
Assam,Baksa,Sonapur (Doomni),91.306500,26.713700,0.403000,0.380000,0.619685,1.480000,0.001000,1.492000,0.704000,0.133000
Assam,Baksa,Tamulpur,91.570900,26.628900,0.472000,0.380000,0.736417,0.537000,0.067000,1.451000,1.308000,0.172000
Assam,Bongaigaon,Baitamari,90.517500,26.347200,0.420000,0.239000,0.540695,1.112000,0.067000,1.508000,0.813000,0.048000
Assam,Bongaigaon,Manikpur,90.801700,26.468600,0.422000,0.403000,0.391202,1.013000,0.078000,1.558000,1.066000,0.181000
Assam,Bongaigaon,Medhipara Deo,90.631000,26.348300,0.379000,0.216000,0.033653,1.013000,0.013000,1.492000,0.759000,0.055000
Assam,Cachar,Silcoorie,92.786100,24.726100,0.472000,0.401000,0.469464,0.915000,0.014000,1.617000,0.834000,0.098000
Assam,Cachar,Digharkhal,92.512800,24.999200,0.457000,0.185000,0.325526,0.302000,0.056000,1.451000,1.028000,0.262000
Assam,Cachar,Poilapul,93.124700,24.831900,0.446000,0.401000,0.680266,2.507000,0.008000,1.659000,1.045000,0.109000
Assam,Cachar,Tarapur,92.979400,24.829700,0.451000,0.026000,0.238714,1.633000,0.014000,1.670000,1.001000,0.104000
Assam,Cachar,Kalain,92.408600,24.968100,0.420000,0.230000,0.129995,1.650000,0.004000,1.628000,1.308000,0.127000
Assam,Cachar,Hilara,92.590600,24.927500,0.446000,0.373000,0.262341,0.908000,0.010000,1.657000,1.045000,0.049000
Assam,Cachar,Katigora,92.588900,24.886900,0.460000,0.209000,0.522947,0.566000,0.013000,1.670000,2.215000,0.048000
Assam,Cachar,Badribasti,92.877200,24.812800,0.472000,0.216000,0.294035,0.302000,0.019000,1.603000,1.001000,0.098000
Assam,Cachar,Borjalinga,92.718600,24.665000,0.408000,0.362000,0.197972,0.506000,0.025000,1.545000,2.215000,0.055000
Assam,Cachar,Fulertol,93.005300,24.790300,0.452000,0.189000,0.131630,0.245000,0.011000,1.651000,1.227000,0.153000
Assam,Cachar,Nagdirgram,92.879700,24.670300,0.434000,0.398000,0.369903,1.422000,0.087000,1.628000,0.701000,0.262000
Assam,Cachar,Razabazar,93.064700,24.872200,0.408000,0.104000,0.788910,1.650000,0.019000,1.520000,1.001000,0.069000
Assam,Cachar,Masimpur,92.726900,24.940300,0.451000,0.104000,0.546184,0.071000,0.010000,1.461000,1.227000,0.181000
Assam,Cachar,Moinarbond,92.835800,24.853300,0.604000,0.271000,0.538800,1.109000,0.014000,1.657000,0.759000,0.218000
Assam,Darrang,Konakat,92.191000,26.533000,0.354000,0.362000,0.748990,0.506000,0.006000,1.558000,1.135000,0.237000
Assam,Darrang,Mangaldoi,92.017000,26.431400,0.444000,0.362000,0.690984,0.961000,0.014000,1.451000,1.123000,0.049000
Assam,Dhubri,Dhubri Town,89.991100,26.020000,0.398000,0.387000,0.417001,0.541000,0.042000,1.520000,1.308000,0.080000
Assam,Dhubri,Shapamari Beat,90.375000,26.238300,0.446000,0.230000,0.557047,1.650000,0.034000,1.551000,1.224000,0.256000
Assam,Dibrugarh,Barbaruah,94.878700,27.398700,0.354000,0.398000,0.423993,1.633000,0.056000,1.603000,0.701000,0.237000
Assam,Dibrugarh,Jaipur Naharani,95.238100,27.255000,0.362000,0.069000,0.698896,0.571000,0.053000,1.808000,2.215000,0.184000
Assam,Dibrugarh,Azarguri Gaon,94.890300,27.261700,0.370000,0.134000,0.597503,0.396000,0.043000,1.508000,1.066000,0.069000
Assam,Dibrugarh,Dikom,95.069200,27.460000,0.408000,0.239000,0.410253,0.571000,0.010000,1.492000,1.062000,0.127000
Assam,Dibrugarh,Chabua,95.189500,27.493100,0.398000,0.398000,0.747807,0.908000,0.011000,1.659000,1.014000,0.052000
Assam,East Karbi Anglong,Bokajan L,93.770000,26.023600,0.412000,0.401000,0.513356,1.112000,0.010000,1.581000,0.896000,0.047000
Assam,East Karbi Anglong,Bokoliaghat,93.202500,26.050800,0.354000,0.104000,0.756150,2.507000,0.019000,1.636000,0.801000,0.080000
Assam,East Karbi Anglong,Dillai,93.822500,25.965800,0.354000,0.380000,0.730201,0.541000,0.034000,1.583000,0.813000,0.104000
Assam,East Karbi Anglong,Diphu 1,93.445000,25.846100,0.441000,0.185000,0.085613,1.594000,0.043000,1.657000,1.220000,0.120000
Assam,East Karbi Anglong,Dokmoka,93.065600,26.208300,0.420000,0.182000,0.239980,1.107000,0.056000,1.461000,1.045000,0.184000
Assam,East Karbi Anglong,Donka Bey Pz,93.804400,26.026100,0.472000,0.266000,0.515926,0.566000,0.025000,1.651000,1.224000,0.058000
Assam,East Karbi Anglong,Lahorijan,93.661400,25.906900,0.354000,0.209000,0.719449,1.013000,0.043000,1.563000,1.043000,0.256000
Assam,East Karbi Anglong,Lakhijan,93.748200,26.050600,0.400000,0.376000,0.667720,1.633000,0.012000,1.636000,1.152000,0.080000
Assam,East Karbi Anglong,Manja,93.440800,25.970000,0.354000,0.104000,0.272474,1.422000,0.043000,1.772000,1.001000,0.120000
Assam,East Karbi Anglong,Mohendijua,93.411000,25.994400,0.474000,0.243000,0.068555,0.396000,0.002000,1.636000,1.220000,0.049000
Assam,East Karbi Anglong,Phuloni,93.136700,26.170800,0.379000,0.216000,0.355789,0.506000,0.008000,1.670000,1.001000,0.055000
Assam,East Karbi Anglong,Saphapani,93.795300,26.196400,0.400000,0.364000,0.308190,0.506000,0.078000,1.508000,1.123000,0.172000
Assam,East Karbi Anglong,Silanijan,93.872200,26.321700,0.457000,0.189000,0.050614,0.302000,0.002000,1.583000,1.147000,0.069000
Assam,East Karbi Anglong,Srirampur Forest,93.020100,26.218100,0.449000,0.243000,0.265774,1.633000,0.013000,1.808000,1.147000,0.049000
Assam,East Karbi Anglong,Swarghati,93.104700,26.204200,0.505000,0.230000,0.142110,0.571000,0.067000,1.562000,1.014000,0.141000
Assam,Goalpara,Agia,90.564100,26.082700,0.444000,0.209000,0.473782,0.541000,0.004000,1.636000,0.759000,0.079000
Assam,Goalpara,Baida,90.416400,26.025800,0.400000,0.266000,0.538382,1.323000,0.053000,1.461000,0.701000,0.075000
Assam,Goalpara,Dudhnoi,90.781700,25.982500,0.444000,0.364000,0.553367,1.306000,0.067000,1.520000,2.215000,0.052000
Assam,Goalpara,Salpara,90.700800,26.012800,0.459000,0.069000,0.450576,0.252000,0.043000,1.508000,0.909000,0.104000
Assam,Goalpara,Sarapara,90.952500,25.971400,0.408000,0.271000,0.299296,0.396000,0.025000,1.581000,0.909000,0.262000
Assam,Golaghat,2 No. Balijan,93.836500,26.481100,0.449000,0.239000,0.249512,0.302000,0.010000,1.636000,1.081000,0.141000
Assam,Golaghat,Bokaghat,93.627800,26.637200,0.472000,0.410000,0.087490,0.571000,0.014000,1.451000,1.066000,0.141000
